"eth","age","sex","time","zip","cases","tests"
"Black or African American","0-17",1,"1/2021","46406",0,1
"Black or African American","0-17",1,"1/2022","46322",0,1
"Black or African American","0-17",1,"10/2021","46368",0,1
"Black or African American","0-17",1,"10/2021","46409",0,1
"Black or African American","0-17",1,"10/2022","46406",0,1
"Black or African American","0-17",1,"10/2022","46410",0,1
"Black or African American","0-17",1,"11/2021","46312",0,1
"Black or African American","0-17",1,"11/2021","46368",0,1
"Black or African American","0-17",1,"11/2021","46406",0,1
"Black or African American","0-17",1,"11/2021","60411",0,1
"Black or African American","0-17",1,"11/2022","46327",0,1
"Black or African American","0-17",1,"11/2022","46341",0,1
"Black or African American","0-17",1,"11/2022","60411",0,1
"Black or African American","0-17",1,"12/2021","46322",0,1
"Black or African American","0-17",1,"12/2022","46323",0,2
"Black or African American","0-17",1,"12/2022","46403",0,1
"Black or African American","0-17",1,"12/2022","46408",0,2
"Black or African American","0-17",1,"13/2021","46405",0,1
"Black or African American","0-17",1,"13/2021","46406",0,1
"Black or African American","0-17",1,"13/2022","46342",0,1
"Black or African American","0-17",1,"14/2021","46320",0,1
"Black or African American","0-17",1,"14/2021","46360",0,2
"Black or African American","0-17",1,"14/2021","46407",0,1
"Black or African American","0-17",1,"14/2022","46312",0,2
"Black or African American","0-17",1,"15/2021","46406",0,1
"Black or African American","0-17",1,"15/2022","46312",0,1
"Black or African American","0-17",1,"15/2022","46322",0,1
"Black or African American","0-17",1,"15/2022","46323",0,1
"Black or African American","0-17",1,"15/2022","46368",0,1
"Black or African American","0-17",1,"15/2022","46404",0,1
"Black or African American","0-17",1,"16/2021","46312",0,1
"Black or African American","0-17",1,"16/2021","46375",0,1
"Black or African American","0-17",1,"16/2022","46324",0,1
"Black or African American","0-17",1,"16/2022","46410",0,1
"Black or African American","0-17",1,"17/2021","46307",0,1
"Black or African American","0-17",1,"17/2021","46342",0,1
"Black or African American","0-17",1,"17/2021","46356",0,1
"Black or African American","0-17",1,"17/2022","46406",0,1
"Black or African American","0-17",1,"18/2021","46320",0,1
"Black or African American","0-17",1,"18/2021","46410",0,1
"Black or African American","0-17",1,"18/2022","46307",0,1
"Black or African American","0-17",1,"18/2022","46319",0,1
"Black or African American","0-17",1,"18/2022","46320",0,2
"Black or African American","0-17",1,"18/2022","46322",0,1
"Black or African American","0-17",1,"19/2021","46312",0,1
"Black or African American","0-17",1,"19/2022","46341",0,1
"Black or African American","0-17",1,"2/2021","60409",0,1
"Black or African American","0-17",1,"2/2022","46307",0,1
"Black or African American","0-17",1,"2/2022","46323",0,1
"Black or African American","0-17",1,"2/2022","46342",1,1
"Black or African American","0-17",1,"20/2020","46407",1,1
"Black or African American","0-17",1,"20/2021","46368",0,1
"Black or African American","0-17",1,"20/2022","46307",0,1
"Black or African American","0-17",1,"21/2021","46320",0,2
"Black or African American","0-17",1,"21/2022","46312",0,1
"Black or African American","0-17",1,"21/2022","46368",0,1
"Black or African American","0-17",1,"21/2022","46373",0,1
"Black or African American","0-17",1,"21/2022","46405",0,1
"Black or African American","0-17",1,"22/2020","46409",0,1
"Black or African American","0-17",1,"22/2020","46410",0,1
"Black or African American","0-17",1,"22/2021","46403",0,2
"Black or African American","0-17",1,"22/2021","46408",0,1
"Black or African American","0-17",1,"22/2022","46403",0,1
"Black or African American","0-17",1,"23/2020","46307",0,1
"Black or African American","0-17",1,"23/2021","60438",0,1
"Black or African American","0-17",1,"23/2022","46304",0,1
"Black or African American","0-17",1,"23/2022","46324",0,1
"Black or African American","0-17",1,"23/2022","46408",0,2
"Black or African American","0-17",1,"24/2021","46410",0,1
"Black or African American","0-17",1,"24/2022","46307",0,1
"Black or African American","0-17",1,"24/2022","46342",0,1
"Black or African American","0-17",1,"24/2022","46402",0,1
"Black or African American","0-17",1,"24/2022","46408",0,1
"Black or African American","0-17",1,"24/2022","46410",0,1
"Black or African American","0-17",1,"25/2021","46312",0,1
"Black or African American","0-17",1,"25/2021","46368",0,1
"Black or African American","0-17",1,"25/2021","46410",0,1
"Black or African American","0-17",1,"26/2020","46385",0,1
"Black or African American","0-17",1,"26/2021","46321",0,1
"Black or African American","0-17",1,"26/2021","46407",0,1
"Black or African American","0-17",1,"26/2021","46410",0,1
"Black or African American","0-17",1,"27/2020","46410",0,1
"Black or African American","0-17",1,"27/2021","46403",0,1
"Black or African American","0-17",1,"27/2021","46410",0,1
"Black or African American","0-17",1,"28/2021","46320",0,1
"Black or African American","0-17",1,"28/2021","46373",0,1
"Black or African American","0-17",1,"29/2021","46312",0,1
"Black or African American","0-17",1,"29/2021","46385",0,1
"Black or African American","0-17",1,"3/2021","46312",0,1
"Black or African American","0-17",1,"3/2021","46320",0,2
"Black or African American","0-17",1,"3/2021","46323",0,1
"Black or African American","0-17",1,"3/2021","46403",0,1
"Black or African American","0-17",1,"3/2021","46410",0,1
"Black or African American","0-17",1,"3/2022","46342",0,1
"Black or African American","0-17",1,"3/2022","46403",0,2
"Black or African American","0-17",1,"30/2021","46320",0,1
"Black or African American","0-17",1,"30/2021","46324",0,1
"Black or African American","0-17",1,"30/2021","46368",0,1
"Black or African American","0-17",1,"31/2020","46324",0,1
"Black or African American","0-17",1,"31/2021","46406",0,1
"Black or African American","0-17",1,"32/2020","46410",0,1
"Black or African American","0-17",1,"32/2021","46312",0,1
"Black or African American","0-17",1,"32/2021","46320",0,1
"Black or African American","0-17",1,"32/2021","46324",0,1
"Black or African American","0-17",1,"32/2021","46402",0,1
"Black or African American","0-17",1,"32/2021","46410",0,1
"Black or African American","0-17",1,"33/2020","46312",0,2
"Black or African American","0-17",1,"33/2020","46341",0,1
"Black or African American","0-17",1,"33/2020","46342",0,1
"Black or African American","0-17",1,"33/2020","46404",0,1
"Black or African American","0-17",1,"33/2021","46320",0,1
"Black or African American","0-17",1,"34/2020","46323",0,1
"Black or African American","0-17",1,"34/2020","60827",0,1
"Black or African American","0-17",1,"34/2021","46312",0,1
"Black or African American","0-17",1,"34/2021","46410",0,1
"Black or African American","0-17",1,"35/2020","46319",0,1
"Black or African American","0-17",1,"35/2020","46410",0,1
"Black or African American","0-17",1,"35/2021","46404",0,1
"Black or African American","0-17",1,"37/2020","46323",0,1
"Black or African American","0-17",1,"37/2020","46324",0,1
"Black or African American","0-17",1,"37/2021","46319",0,1
"Black or African American","0-17",1,"38/2020","46323",0,1
"Black or African American","0-17",1,"38/2020","46408",0,1
"Black or African American","0-17",1,"38/2021","46312",1,2
"Black or African American","0-17",1,"38/2021","46404",0,1
"Black or African American","0-17",1,"39/2020","46320",0,1
"Black or African American","0-17",1,"39/2020","46322",0,1
"Black or African American","0-17",1,"39/2020","46368",0,1
"Black or African American","0-17",1,"39/2021","46323",0,1
"Black or African American","0-17",1,"39/2021","46409",0,1
"Black or African American","0-17",1,"39/2021","46410",0,1
"Black or African American","0-17",1,"4/2022","46319",0,1
"Black or African American","0-17",1,"4/2022","46322",0,1
"Black or African American","0-17",1,"40/2020","46404",0,1
"Black or African American","0-17",1,"40/2021","46368",0,1
"Black or African American","0-17",1,"41/2020","46323",0,1
"Black or African American","0-17",1,"41/2021","46368",0,1
"Black or African American","0-17",1,"41/2021","46373",0,1
"Black or African American","0-17",1,"41/2021","46402",0,1
"Black or African American","0-17",1,"41/2021","46410",0,1
"Black or African American","0-17",1,"42/2020","60419",0,1
"Black or African American","0-17",1,"42/2020","60827",0,1
"Black or African American","0-17",1,"42/2021","46312",0,2
"Black or African American","0-17",1,"42/2021","46322",0,1
"Black or African American","0-17",1,"42/2021","46408",0,1
"Black or African American","0-17",1,"43/2020","46312",0,1
"Black or African American","0-17",1,"43/2020","46321",0,1
"Black or African American","0-17",1,"43/2021","46312",0,1
"Black or African American","0-17",1,"43/2021","46323",0,1
"Black or African American","0-17",1,"44/2020","46319",0,1
"Black or African American","0-17",1,"44/2020","46324",0,1
"Black or African American","0-17",1,"44/2020","46410",0,1
"Black or African American","0-17",1,"45/2020","46383",1,1
"Black or African American","0-17",1,"45/2020","46404",0,1
"Black or African American","0-17",1,"45/2020","46406",0,1
"Black or African American","0-17",1,"45/2020","46407",0,1
"Black or African American","0-17",1,"45/2021","46323",0,1
"Black or African American","0-17",1,"46/2020","46394",0,1
"Black or African American","0-17",1,"46/2020","46402",0,1
"Black or African American","0-17",1,"46/2021","46307",0,1
"Black or African American","0-17",1,"46/2021","46323",0,1
"Black or African American","0-17",1,"46/2021","46324",0,1
"Black or African American","0-17",1,"47/2020","46324",0,1
"Black or African American","0-17",1,"48/2020","46322",0,1
"Black or African American","0-17",1,"48/2020","46409",0,1
"Black or African American","0-17",1,"49/2020","46312",0,1
"Black or African American","0-17",1,"49/2020","46322",0,1
"Black or African American","0-17",1,"49/2020","46406",0,1
"Black or African American","0-17",1,"49/2021","46375",0,1
"Black or African American","0-17",1,"49/2021","46383",0,1
"Black or African American","0-17",1,"49/2021","46408",0,1
"Black or African American","0-17",1,"5/2021","46324",0,1
"Black or African American","0-17",1,"5/2021","46342",0,1
"Black or African American","0-17",1,"5/2021","46407",0,1
"Black or African American","0-17",1,"50/2020","46404",0,1
"Black or African American","0-17",1,"50/2020","46408",0,1
"Black or African American","0-17",1,"50/2021","46404",0,1
"Black or African American","0-17",1,"51/2020","46312",0,1
"Black or African American","0-17",1,"51/2020","60411",0,1
"Black or African American","0-17",1,"51/2021","46408",0,1
"Black or African American","0-17",1,"52/2021","46307",0,1
"Black or African American","0-17",1,"52/2021","46312",1,1
"Black or African American","0-17",1,"52/2021","46371",0,1
"Black or African American","0-17",1,"52/2021","46404",1,1
"Black or African American","0-17",1,"52/2021","46410",0,2
"Black or African American","0-17",1,"53/2021","46312",1,1
"Black or African American","0-17",1,"6/2021","46406",0,1
"Black or African American","0-17",1,"6/2022","46323",0,1
"Black or African American","0-17",1,"6/2022","46368",0,1
"Black or African American","0-17",1,"6/2022","46403",0,1
"Black or African American","0-17",1,"6/2022","46407",0,1
"Black or African American","0-17",1,"7/2021","46410",0,1
"Black or African American","0-17",1,"7/2022","46404",0,1
"Black or African American","0-17",1,"8/2021","46320",0,1
"Black or African American","0-17",1,"8/2021","46410",0,2
"Black or African American","0-17",1,"8/2022","46323",0,1
"Black or African American","0-17",1,"8/2022","46403",0,1
"Black or African American","0-17",1,"9/2021","46320",0,1
"Black or African American","0-17",1,"9/2022","46341",0,1
"Black or African American","0-17",1,"9/2022","46373",0,1
"Black or African American","0-17",1,"9/2022","46410",0,1
"Black or African American","0-17",0,"1/2021","47978",0,1
"Black or African American","0-17",0,"1/2022","46342",0,1
"Black or African American","0-17",0,"10/2021","46375",0,1
"Black or African American","0-17",0,"10/2021","46402",0,1
"Black or African American","0-17",0,"11/2021","46406",0,1
"Black or African American","0-17",0,"11/2022","46312",0,1
"Black or African American","0-17",0,"11/2022","46319",0,1
"Black or African American","0-17",0,"11/2022","46385",0,1
"Black or African American","0-17",0,"12/2021","46323",0,1
"Black or African American","0-17",0,"12/2022","46407",0,1
"Black or African American","0-17",0,"12/2022","46408",0,1
"Black or African American","0-17",0,"12/2022","46410",0,1
"Black or African American","0-17",0,"13/2021","46404",0,1
"Black or African American","0-17",0,"13/2022","46312",0,2
"Black or African American","0-17",0,"13/2022","46373",0,1
"Black or African American","0-17",0,"13/2022","60419",0,1
"Black or African American","0-17",0,"14/2021","46368",0,1
"Black or African American","0-17",0,"14/2021","46404",0,1
"Black or African American","0-17",0,"14/2022","46323",0,1
"Black or African American","0-17",0,"14/2022","46324",0,2
"Black or African American","0-17",0,"15/2021","46319",0,1
"Black or African American","0-17",0,"15/2021","46323",0,1
"Black or African American","0-17",0,"15/2021","46324",0,1
"Black or African American","0-17",0,"15/2021","46368",0,1
"Black or African American","0-17",0,"15/2021","46407",0,2
"Black or African American","0-17",0,"15/2022","46324",0,1
"Black or African American","0-17",0,"15/2022","46373",0,1
"Black or African American","0-17",0,"15/2022","46385",0,1
"Black or African American","0-17",0,"15/2022","46406",0,1
"Black or African American","0-17",0,"15/2022","60411",0,1
"Black or African American","0-17",0,"15/2022","60430",0,1
"Black or African American","0-17",0,"16/2021","46312",0,3
"Black or African American","0-17",0,"16/2021","46320",0,1
"Black or African American","0-17",0,"16/2021","46342",0,1
"Black or African American","0-17",0,"16/2021","46375",0,1
"Black or African American","0-17",0,"16/2022","46324",0,1
"Black or African American","0-17",0,"16/2022","46406",0,1
"Black or African American","0-17",0,"17/2021","46312",0,1
"Black or African American","0-17",0,"17/2022","46324",0,1
"Black or African American","0-17",0,"17/2022","46402",0,1
"Black or African American","0-17",0,"17/2022","46410",0,1
"Black or African American","0-17",0,"18/2021","46368",0,1
"Black or African American","0-17",0,"18/2021","46404",0,1
"Black or African American","0-17",0,"18/2021","46410",0,1
"Black or African American","0-17",0,"18/2022","46368",0,1
"Black or African American","0-17",0,"18/2022","46375",0,1
"Black or African American","0-17",0,"18/2022","46403",0,1
"Black or African American","0-17",0,"19/2021","46342",0,1
"Black or African American","0-17",0,"19/2022","46312",0,1
"Black or African American","0-17",0,"19/2022","46327",0,1
"Black or African American","0-17",0,"2/2021","46312",0,1
"Black or African American","0-17",0,"2/2021","46405",0,1
"Black or African American","0-17",0,"2/2021","46409",0,1
"Black or African American","0-17",0,"2/2021","46410",0,1
"Black or African American","0-17",0,"2/2022","46342",0,1
"Black or African American","0-17",0,"2/2022","46404",0,1
"Black or African American","0-17",0,"2/2022","46410",0,1
"Black or African American","0-17",0,"2/2022","60438",0,1
"Black or African American","0-17",0,"20/2021","46406",0,1
"Black or African American","0-17",0,"20/2021","46410",0,1
"Black or African American","0-17",0,"20/2022","46410",0,1
"Black or African American","0-17",0,"21/2020","46327",0,1
"Black or African American","0-17",0,"21/2021","46312",0,1
"Black or African American","0-17",0,"21/2021","46404",0,1
"Black or African American","0-17",0,"21/2021","46405",0,1
"Black or African American","0-17",0,"21/2022","46383",0,1
"Black or African American","0-17",0,"21/2022","46405",0,1
"Black or African American","0-17",0,"21/2022","46408",0,1
"Black or African American","0-17",0,"22/2021","46312",0,1
"Black or African American","0-17",0,"22/2021","46320",0,1
"Black or African American","0-17",0,"22/2022","46312",0,1
"Black or African American","0-17",0,"22/2022","46320",0,1
"Black or African American","0-17",0,"22/2022","46323",0,1
"Black or African American","0-17",0,"22/2022","46324",0,1
"Black or African American","0-17",0,"22/2022","46368",0,1
"Black or African American","0-17",0,"22/2022","46403",0,1
"Black or African American","0-17",0,"23/2020","46320",0,1
"Black or African American","0-17",0,"23/2021","46404",0,2
"Black or African American","0-17",0,"23/2022","46312",0,1
"Black or African American","0-17",0,"23/2022","46321",0,1
"Black or African American","0-17",0,"23/2022","46322",0,1
"Black or African American","0-17",0,"23/2022","46402",0,1
"Black or African American","0-17",0,"23/2022","46403",1,1
"Black or African American","0-17",0,"24/2020","46312",0,1
"Black or African American","0-17",0,"24/2021","46312",0,1
"Black or African American","0-17",0,"24/2022","46321",0,1
"Black or African American","0-17",0,"24/2022","46403",0,1
"Black or African American","0-17",0,"24/2022","46408",0,1
"Black or African American","0-17",0,"25/2020","46312",0,1
"Black or African American","0-17",0,"25/2020","46324",0,1
"Black or African American","0-17",0,"25/2020","46410",0,1
"Black or African American","0-17",0,"25/2021","46368",0,1
"Black or African American","0-17",0,"25/2021","46407",0,1
"Black or African American","0-17",0,"25/2021","60411",0,1
"Black or African American","0-17",0,"25/2022","46312",0,1
"Black or African American","0-17",0,"25/2022","46342",0,1
"Black or African American","0-17",0,"25/2022","46404",0,1
"Black or African American","0-17",0,"25/2022","46405",0,1
"Black or African American","0-17",0,"25/2022","46408",0,1
"Black or African American","0-17",0,"26/2020","46303",0,1
"Black or African American","0-17",0,"26/2020","46321",0,1
"Black or African American","0-17",0,"26/2021","46307",0,1
"Black or African American","0-17",0,"26/2021","46312",0,1
"Black or African American","0-17",0,"26/2021","46321",0,1
"Black or African American","0-17",0,"26/2021","46342",0,1
"Black or African American","0-17",0,"26/2021","46404",0,1
"Black or African American","0-17",0,"27/2020","46320",0,1
"Black or African American","0-17",0,"27/2020","46407",0,1
"Black or African American","0-17",0,"27/2021","46323",0,1
"Black or African American","0-17",0,"27/2021","46342",0,1
"Black or African American","0-17",0,"28/2021","46320",0,1
"Black or African American","0-17",0,"28/2021","46322",0,1
"Black or African American","0-17",0,"28/2021","46383",0,1
"Black or African American","0-17",0,"28/2021","46410",0,3
"Black or African American","0-17",0,"29/2021","46312",0,1
"Black or African American","0-17",0,"29/2021","46410",0,1
"Black or African American","0-17",0,"3/2021","46410",0,1
"Black or African American","0-17",0,"3/2022","46320",0,1
"Black or African American","0-17",0,"3/2022","46404",1,1
"Black or African American","0-17",0,"30/2021","46368",0,1
"Black or African American","0-17",0,"30/2021","46410",0,2
"Black or African American","0-17",0,"31/2021","46323",0,1
"Black or African American","0-17",0,"31/2021","46408",0,1
"Black or African American","0-17",0,"32/2020","46312",0,1
"Black or African American","0-17",0,"32/2020","46320",0,1
"Black or African American","0-17",0,"32/2021","46312",0,1
"Black or African American","0-17",0,"32/2021","46320",0,1
"Black or African American","0-17",0,"33/2021","46410",0,1
"Black or African American","0-17",0,"34/2021","46403",0,1
"Black or African American","0-17",0,"34/2021","46410",0,2
"Black or African American","0-17",0,"35/2020","46320",0,1
"Black or African American","0-17",0,"35/2020","46323",0,1
"Black or African American","0-17",0,"35/2020","46407",0,1
"Black or African American","0-17",0,"35/2020","46409",0,1
"Black or African American","0-17",0,"35/2020","46410",0,1
"Black or African American","0-17",0,"35/2021","46310",0,1
"Black or African American","0-17",0,"36/2020","46321",0,2
"Black or African American","0-17",0,"36/2020","46408",0,1
"Black or African American","0-17",0,"36/2021","46403",0,1
"Black or African American","0-17",0,"37/2020","46402",0,1
"Black or African American","0-17",0,"37/2021","46319",0,1
"Black or African American","0-17",0,"37/2021","46406",0,2
"Black or African American","0-17",0,"38/2020","46307",0,1
"Black or African American","0-17",0,"38/2020","46375",0,1
"Black or African American","0-17",0,"38/2021","46310",0,1
"Black or African American","0-17",0,"38/2021","46320",0,1
"Black or African American","0-17",0,"38/2021","46407",0,1
"Black or African American","0-17",0,"39/2020","46394",0,1
"Black or African American","0-17",0,"39/2021","46402",0,1
"Black or African American","0-17",0,"39/2021","46403",0,1
"Black or African American","0-17",0,"39/2021","46410",0,2
"Black or African American","0-17",0,"4/2021","46342",0,1
"Black or African American","0-17",0,"4/2021","46368",0,1
"Black or African American","0-17",0,"4/2021","46407",0,1
"Black or African American","0-17",0,"40/2020","46407",0,1
"Black or African American","0-17",0,"40/2021","46404",0,2
"Black or African American","0-17",0,"40/2021","46409",0,1
"Black or African American","0-17",0,"40/2021","46410",0,1
"Black or African American","0-17",0,"41/2020","46319",0,1
"Black or African American","0-17",0,"41/2020","46324",0,1
"Black or African American","0-17",0,"41/2021","46410",0,1
"Black or African American","0-17",0,"42/2020","46312",0,1
"Black or African American","0-17",0,"42/2020","46322",0,1
"Black or African American","0-17",0,"42/2020","46324",0,1
"Black or African American","0-17",0,"42/2020","46373",0,1
"Black or African American","0-17",0,"42/2020","60411",0,1
"Black or African American","0-17",0,"42/2021","46409",0,1
"Black or African American","0-17",0,"42/2021","46410",0,1
"Black or African American","0-17",0,"43/2020","46312",0,2
"Black or African American","0-17",0,"43/2020","46342",0,1
"Black or African American","0-17",0,"43/2020","46383",0,1
"Black or African American","0-17",0,"43/2020","46408",0,2
"Black or African American","0-17",0,"43/2020","46410",0,2
"Black or African American","0-17",0,"43/2021","46312",0,1
"Black or African American","0-17",0,"43/2021","46323",0,1
"Black or African American","0-17",0,"43/2021","46375",0,1
"Black or African American","0-17",0,"43/2021","46403",0,1
"Black or African American","0-17",0,"44/2020","46410",0,2
"Black or African American","0-17",0,"44/2021","46375",0,1
"Black or African American","0-17",0,"44/2021","46385",0,1
"Black or African American","0-17",0,"45/2020","46319",0,1
"Black or African American","0-17",0,"45/2020","60473",0,1
"Black or African American","0-17",0,"45/2021","46307",0,1
"Black or African American","0-17",0,"45/2021","46403",0,2
"Black or African American","0-17",0,"46/2020","46324",0,1
"Black or African American","0-17",0,"46/2020","46407",0,1
"Black or African American","0-17",0,"47/2020","46324",0,1
"Black or African American","0-17",0,"47/2020","46405",0,1
"Black or African American","0-17",0,"47/2021","46375",0,1
"Black or African American","0-17",0,"48/2020","46407",0,1
"Black or African American","0-17",0,"48/2021","46312",0,1
"Black or African American","0-17",0,"48/2021","46323",0,1
"Black or African American","0-17",0,"48/2021","46360",0,1
"Black or African American","0-17",0,"48/2021","46407",0,1
"Black or African American","0-17",0,"49/2020","46312",0,1
"Black or African American","0-17",0,"49/2020","60438",0,1
"Black or African American","0-17",0,"49/2021","46307",0,1
"Black or African American","0-17",0,"49/2021","46312",0,2
"Black or African American","0-17",0,"49/2021","46327",0,1
"Black or African American","0-17",0,"49/2021","46342",0,1
"Black or African American","0-17",0,"49/2021","46404",0,1
"Black or African American","0-17",0,"49/2021","46410",0,1
"Black or African American","0-17",0,"5/2021","46408",0,1
"Black or African American","0-17",0,"5/2022","46312",1,1
"Black or African American","0-17",0,"5/2022","46319",0,1
"Black or African American","0-17",0,"5/2022","46403",0,1
"Black or African American","0-17",0,"5/2022","46405",0,1
"Black or African American","0-17",0,"5/2022","46407",0,1
"Black or African American","0-17",0,"50/2020","46312",0,2
"Black or African American","0-17",0,"50/2020","46408",0,1
"Black or African American","0-17",0,"50/2020","46409",0,1
"Black or African American","0-17",0,"50/2021","46319",0,1
"Black or African American","0-17",0,"50/2021","46323",0,1
"Black or African American","0-17",0,"50/2021","46403",0,1
"Black or African American","0-17",0,"51/2020","46319",0,1
"Black or African American","0-17",0,"51/2020","46324",0,1
"Black or African American","0-17",0,"51/2020","46373",0,1
"Black or African American","0-17",0,"51/2020","46410",0,1
"Black or African American","0-17",0,"51/2021","46312",0,1
"Black or African American","0-17",0,"51/2021","46319",0,1
"Black or African American","0-17",0,"51/2021","46404",0,1
"Black or African American","0-17",0,"51/2021","46405",0,1
"Black or African American","0-17",0,"51/2021","46410",0,1
"Black or African American","0-17",0,"52/2020","46368",0,1
"Black or African American","0-17",0,"52/2020","46410",0,2
"Black or African American","0-17",0,"53/2021","46385",0,1
"Black or African American","0-17",0,"6/2021","46403",0,1
"Black or African American","0-17",0,"6/2022","46319",0,1
"Black or African American","0-17",0,"6/2022","46322",1,1
"Black or African American","0-17",0,"6/2022","46373",0,1
"Black or African American","0-17",0,"6/2022","46406",0,1
"Black or African American","0-17",0,"7/2022","46319",0,1
"Black or African American","0-17",0,"7/2022","46405",0,1
"Black or African American","0-17",0,"7/2022","46410",0,2
"Black or African American","0-17",0,"8/2021","46323",0,1
"Black or African American","0-17",0,"9/2021","46403",0,1
"Black or African American","0-17",0,"9/2021","46406",0,2
"Black or African American","0-17",0,"9/2022","46307",0,1
"Black or African American","0-17",0,"9/2022","46323",0,1
"Black or African American","0-17",0,"9/2022","46404",0,1
"Black or African American","18-34",1,"1/2021","46324",0,1
"Black or African American","18-34",1,"1/2021","46404",0,1
"Black or African American","18-34",1,"1/2021","46410",0,1
"Black or African American","18-34",1,"1/2021","60430",0,1
"Black or African American","18-34",1,"1/2022","46312",0,1
"Black or African American","18-34",1,"1/2022","46404",0,1
"Black or African American","18-34",1,"10/2021","46319",0,1
"Black or African American","18-34",1,"10/2021","46320",0,1
"Black or African American","18-34",1,"10/2021","46324",0,1
"Black or African American","18-34",1,"10/2021","46342",0,1
"Black or African American","18-34",1,"10/2021","46410",0,3
"Black or African American","18-34",1,"10/2022","46312",0,1
"Black or African American","18-34",1,"10/2022","46320",0,1
"Black or African American","18-34",1,"10/2022","46323",0,1
"Black or African American","18-34",1,"10/2022","46404",0,1
"Black or African American","18-34",1,"10/2022","46408",0,1
"Black or African American","18-34",1,"11/2021","46312",0,1
"Black or African American","18-34",1,"11/2021","46320",0,1
"Black or African American","18-34",1,"11/2021","46323",0,2
"Black or African American","18-34",1,"11/2021","46403",0,2
"Black or African American","18-34",1,"11/2021","46404",0,1
"Black or African American","18-34",1,"11/2021","46409",0,1
"Black or African American","18-34",1,"11/2021","60619",0,1
"Black or African American","18-34",1,"11/2021","60628",0,1
"Black or African American","18-34",1,"11/2022","46312",0,2
"Black or African American","18-34",1,"11/2022","46319",0,1
"Black or African American","18-34",1,"11/2022","46320",0,1
"Black or African American","18-34",1,"11/2022","46324",0,1
"Black or African American","18-34",1,"11/2022","46406",0,1
"Black or African American","18-34",1,"11/2022","46410",0,2
"Black or African American","18-34",1,"12/2021","46312",0,3
"Black or African American","18-34",1,"12/2021","46320",0,1
"Black or African American","18-34",1,"12/2021","46322",0,1
"Black or African American","18-34",1,"12/2021","46323",0,2
"Black or African American","18-34",1,"12/2021","46324",0,1
"Black or African American","18-34",1,"12/2021","46404",0,3
"Black or African American","18-34",1,"12/2021","46406",0,1
"Black or African American","18-34",1,"12/2021","46410",0,2
"Black or African American","18-34",1,"12/2022","46307",0,1
"Black or African American","18-34",1,"12/2022","46312",0,1
"Black or African American","18-34",1,"12/2022","46320",0,2
"Black or African American","18-34",1,"12/2022","60475",0,1
"Black or African American","18-34",1,"13/2021","46312",0,2
"Black or African American","18-34",1,"13/2021","46320",0,1
"Black or African American","18-34",1,"13/2021","46323",0,2
"Black or African American","18-34",1,"13/2021","46375",0,1
"Black or African American","18-34",1,"13/2021","46403",0,2
"Black or African American","18-34",1,"13/2021","46404",0,1
"Black or African American","18-34",1,"13/2021","46407",0,1
"Black or African American","18-34",1,"13/2021","46408",0,1
"Black or African American","18-34",1,"13/2021","46410",0,3
"Black or African American","18-34",1,"13/2021","60419",0,1
"Black or African American","18-34",1,"13/2022","46312",0,1
"Black or African American","18-34",1,"13/2022","46327",0,1
"Black or African American","18-34",1,"13/2022","46403",0,1
"Black or African American","18-34",1,"13/2022","46404",0,2
"Black or African American","18-34",1,"13/2022","46408",0,1
"Black or African American","18-34",1,"13/2022","46409",0,1
"Black or African American","18-34",1,"13/2022","46410",0,1
"Black or African American","18-34",1,"13/2022","60411",0,1
"Black or African American","18-34",1,"14/2021","46312",0,2
"Black or African American","18-34",1,"14/2021","46404",0,2
"Black or African American","18-34",1,"14/2021","46406",0,1
"Black or African American","18-34",1,"14/2021","46407",0,1
"Black or African American","18-34",1,"14/2021","46408",0,1
"Black or African American","18-34",1,"14/2021","46410",0,1
"Black or African American","18-34",1,"14/2021","60419",0,1
"Black or African American","18-34",1,"14/2022","46320",0,2
"Black or African American","18-34",1,"14/2022","46324",0,2
"Black or African American","18-34",1,"14/2022","46342",0,1
"Black or African American","18-34",1,"14/2022","46404",0,2
"Black or African American","18-34",1,"14/2022","46410",0,1
"Black or African American","18-34",1,"15/2021","46307",0,1
"Black or African American","18-34",1,"15/2021","46323",0,2
"Black or African American","18-34",1,"15/2021","46368",0,1
"Black or African American","18-34",1,"15/2021","46409",0,2
"Black or African American","18-34",1,"15/2021","46410",0,1
"Black or African American","18-34",1,"15/2022","46322",0,2
"Black or African American","18-34",1,"15/2022","46323",0,1
"Black or African American","18-34",1,"15/2022","46368",0,1
"Black or African American","18-34",1,"15/2022","46404",0,1
"Black or African American","18-34",1,"15/2022","46405",0,1
"Black or African American","18-34",1,"15/2022","46406",0,1
"Black or African American","18-34",1,"16/2021","46368",0,1
"Black or African American","18-34",1,"16/2021","46385",0,1
"Black or African American","18-34",1,"16/2021","46394",0,1
"Black or African American","18-34",1,"16/2021","46407",0,1
"Black or African American","18-34",1,"16/2021","46410",0,1
"Black or African American","18-34",1,"16/2021","60409",0,1
"Black or African American","18-34",1,"16/2021","60473",0,1
"Black or African American","18-34",1,"16/2021","60620",0,1
"Black or African American","18-34",1,"16/2021","60628",0,1
"Black or African American","18-34",1,"16/2022","46320",0,2
"Black or African American","18-34",1,"16/2022","46404",0,1
"Black or African American","18-34",1,"16/2022","46410",0,1
"Black or African American","18-34",1,"16/2022","60438",0,1
